params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'svc__C': 0.1, 'svc__kernel': 'linear'}",0.984202391664371,0.0019801937314494157,1,5.320654630661011
"{'svc__C': 1.0, 'svc__kernel': 'linear'}",0.984202391664371,0.0019801937314494157,1,5.05971344312032
"{'svc__C': 10.0, 'svc__kernel': 'linear'}",0.984202391664371,0.0019801937314494157,1,10.576915899912516
"{'svc__C': 10.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.984202391664371,0.0019801937314494157,1,13.381100495656332
"{'svc__C': 1.0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,1,10.745510498682657
"{'svc__C': 1.0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,1,10.31283434232076
"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,1,6.603465636571248
"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,1,6.186188300450643
"{'svc__C': 10.0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,1,11.982070763905844
"{'svc__C': 10.0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,1,11.348021189371744
"{'svc__C': 10.0, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,1,16.390835444132488
"{'svc__C': 10.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,1,15.773686170578003
"{'svc__C': 10.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9841536462405074,0.001922795781204583,13,8.593822002410889
"{'svc__C': 10.0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.983812091853694,0.001940452738278924,14,8.629809617996216
"{'svc__C': 1.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9740398251649811,0.001624216578695827,15,11.128846486409506
"{'svc__C': 1.0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9734920779990531,0.0016840610611239344,16,11.017796993255615
"{'svc__C': 1.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9682362078024012,0.002614238679847271,17,11.836235046386719
"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9682362078024012,0.002614238679847271,17,12.581019639968872
"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.9682362078024012,0.002614238679847271,17,9.686305522918701
"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.9682362078024012,0.002614238679847271,17,12.783451080322266
"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9682362078024012,0.002614238679847271,17,10.089449564615885
"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9566679560779674,0.0022804106684152716,22,17.02996603647868
"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9563610738611855,0.0020930910772588183,23,17.145227511723835
"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9488276275538925,0.0012912624435448066,24,16.40639313062032
