params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'svc__C': 10.0, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.9844950648109698,0.0022177624273676667,1,28.202438195546467
"{'svc__C': 10.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9843972570420109,0.002216228701019495,2,13.403100887934366
"{'svc__C': 10.0, 'svc__kernel': 'linear'}",0.984202391664371,0.0019801937314494157,3,29.294064044952393
"{'svc__C': 0.1, 'svc__kernel': 'linear'}",0.984202391664371,0.0019801937314494157,3,17.32470949490865
"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,3,13.952883243560791
"{'svc__C': 10.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.984202391664371,0.0019801937314494157,3,33.76957949002584
"{'svc__C': 1.0, 'svc__kernel': 'linear'}",0.984202391664371,0.0019801937314494157,3,11.884330670038858
"{'svc__C': 10.0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9815562787036473,0.0023657116650704353,8,14.646468162536621
"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9805736386922527,0.0008723913838301852,9,14.379956165949503
"{'svc__C': 1.0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.9802269534357159,0.0018090814699299408,10,14.313350598017374
"{'svc__C': 10.0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9779306376939566,0.0015985255769930184,11,13.884580453236898
"{'svc__C': 10.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9762279170681715,0.001973947631905527,12,16.212652285893757
"{'svc__C': 1.0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9754819882859618,0.0012339789179955736,13,14.757147312164307
"{'svc__C': 1.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9712940057435068,0.0024584551026618907,14,19.117629289627075
"{'svc__C': 1.0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9711435047936005,0.0025811651548557656,15,17.933859825134277
"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.9708937515244921,0.00251133792953983,16,17.76692001024882
"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.9682362078024012,0.002614238679847271,17,16.199508746465046
"{'svc__C': 1.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9682362078024012,0.002614238679847271,17,15.580752611160278
"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9664746862542354,0.002672878899431278,19,18.14385398228963
"{'svc__C': 10.0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.9640991400533657,0.0008084738510587091,20,13.875625530878702
"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9619699670026057,0.0031077945289854406,21,20.66202704111735
"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.953016283438593,0.002590810898378954,22,24.30538574854533
"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9509497327563459,0.002535647447479004,23,27.573510487874348
"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9427151777302999,0.001673458447917798,24,27.33919382095337
