params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'svc__C': 10.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.7435475202124334,0.0064264947820444175,1,17.450715621312458
"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.7428697864600954,0.006243386139655853,2,14.437170267105103
"{'svc__C': 10.0, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.7426967047661747,0.004893592496682695,3,21.181670665740967
"{'svc__C': 10.0, 'svc__kernel': 'linear'}",0.7406059698247455,0.009127397727157434,4,34.05558729171753
"{'svc__C': 1.0, 'svc__kernel': 'linear'}",0.740451125324213,0.009342992682051889,5,21.475829124450684
"{'svc__C': 10.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.7357036006853163,0.008817718279122243,6,18.240591049194336
"{'svc__C': 1.0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.7355472201034036,0.006251959534903825,7,16.643548885981243
"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.7338688409593149,0.0073107325291467615,8,14.077250798543295
"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.7336190461320374,0.009575474889930843,9,17.534136056900024
"{'svc__C': 10.0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.7328831630813016,0.010068763159122394,10,14.788146177927652
"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.7317778809985432,0.008715410019329538,11,15.714702208836874
"{'svc__C': 0.1, 'svc__kernel': 'linear'}",0.7313476061418497,0.008614120758939069,12,17.510636568069458
"{'svc__C': 1.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.7299527157450559,0.007464236185945948,13,19.90003498395284
"{'svc__C': 1.0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.7298319482605128,0.007967124727162274,14,13.92481803894043
"{'svc__C': 1.0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.7294721277107286,0.010188328056998475,15,13.096734126408895
"{'svc__C': 10.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.7274686092751023,0.011389179449847705,16,16.756400505701702
"{'svc__C': 1.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.727386542306801,0.00763444179474236,17,18.23193637530009
"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.7221595136060649,0.010634050721596181,18,20.183549960454304
"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.7187951573293955,0.007043106065930996,19,20.11199951171875
"{'svc__C': 10.0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.7175899669567025,0.008198836210123015,20,13.712110042572021
"{'svc__C': 10.0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.7161243325847796,0.012212426228435743,21,14.980489174524942
"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.712789540872313,0.007630203922216222,22,31.397120316823322
"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.7123209391878342,0.009485806894360335,23,26.68046482404073
"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.7096928007803903,0.006465328293103841,24,28.44790856043498
