feature,statistic,value
Blood Culture Result,Cramer's V,0.9999
Fever Duration (Days),point-biserial r,0.8138
Complications,Cramer's V,0.2685
White Blood Cell Count,point-biserial r,0.1948
Water Source Type,Cramer's V,0.0132
Location,Cramer's V,0.012
Neurological Symptoms,Cramer's V,0.0091
Ongoing Infection in Society,Cramer's V,0.0073
Sanitation Facilities,Cramer's V,0.0069
Socioeconomic Status,Cramer's V,0.0066
Typhidot Test,Cramer's V,0.0065
Gastrointestinal Symptoms,Cramer's V,0.0052
Previous History of Typhoid,Cramer's V,0.0045
Hand Hygiene,Cramer's V,0.0042
Consumption of Street Food,Cramer's V,0.0035
Platelet Count,point-biserial r,-0.0026
Weather Condition,Cramer's V,0.0023
Skin Manifestations,Cramer's V,0.0022
Typhoid Vaccination Status,Cramer's V,0.0021
Age,point-biserial r,0.0014
Widal Test,Cramer's V,0.0014
Gender,Cramer's V,0.0008
