operating_point,threshold,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,youden_j,false_negatives,false_positives,referral_rate,rationale,degenerate
default,0.5,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9880990672241878,0.9802876931273308,0.9605753862546615,74,0,0.28996461884850433,Library default; treats the two error types as equal.,
youden,0.08,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Maximises Youden's J (sensitivity + specificity - 1); the standard choice when the two error types are weighted equally.,
max_f1,0.08,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Maximises F1 on the positive class; favours precision-recall balance under class imbalance.,
sens_90,0.08,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Highest specificity among cut-offs achieving at least 90% sensitivity; a rule-out operating point.,
sens_95,0.08,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Highest specificity among cut-offs achieving at least 95% sensitivity; a rule-out operating point.,
sens_99,0.01,0.9957378795950985,0.0884588804422944,0.3208032955715757,0.9795918367346939,0.3623351559987134,0.5420983800186965,0.08419676003739296,8,3957,0.9369572209713735,Highest specificity among cut-offs achieving at least 99% sensitivity; a rule-out operating point.,
cost_fn1x,0.08,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Minimises expected cost when a missed case is treated as 1x as costly as an unnecessary confirmatory test.,
cost_fn5x,0.08,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Minimises expected cost when a missed case is treated as 5x as costly as an unnecessary confirmatory test.,
cost_fn10x,0.08,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Minimises expected cost when a missed case is treated as 10x as costly as an unnecessary confirmatory test.,False
cost_fn20x,0.05,0.9621736814064997,0.9937802349689012,0.9852700490998363,0.9838084378563284,0.9842393052428433,0.9779769581877005,0.955953916375401,71,27,0.2947893213251849,Minimises expected cost when a missed case is treated as 20x as costly as an unnecessary confirmatory test.,
