operating_point,threshold,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,youden_j,false_negatives,false_positives,referral_rate,rationale,degenerate
default,0.5,0.958444326052211,1.0,1.0,0.9823489477257298,0.9874557735606304,0.9792221630261055,0.9584443260522111,78,0,0.2893213251849469,Library default; treats the two error types as equal.,
youden,0.03,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Maximises Youden's J (sensitivity + specificity - 1); the standard choice when the two error types are weighted equally.,
max_f1,0.03,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Maximises F1 on the positive class; favours precision-recall balance under class imbalance.,
sens_90,0.03,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Highest specificity among cut-offs achieving at least 90% sensitivity; a rule-out operating point.,
sens_95,0.03,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Highest specificity among cut-offs achieving at least 95% sensitivity; a rule-out operating point.,
sens_99,0.01,1.0,0.0,0.3018655516243165,,0.3018655516243165,0.5,0.0,0,4341,1.0,Highest specificity among cut-offs achieving at least 99% sensitivity; a rule-out operating point.,
cost_fn1x,0.03,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Minimises expected cost when a missed case is treated as 1x as costly as an unnecessary confirmatory test.,
cost_fn5x,0.03,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Minimises expected cost when a missed case is treated as 5x as costly as an unnecessary confirmatory test.,
cost_fn10x,0.03,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Minimises expected cost when a missed case is treated as 10x as costly as an unnecessary confirmatory test.,False
cost_fn20x,0.03,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9882598906400772,0.9805540756526372,0.9611081513052744,73,0,0.2901254422643937,Minimises expected cost when a missed case is treated as 20x as costly as an unnecessary confirmatory test.,
