operating_point,threshold,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,youden_j,false_negatives,false_positives,referral_rate,rationale,degenerate
default,0.5,0.41555673947789024,0.6814098134070491,0.3606102635228849,0.7294697903822441,0.6011579285944033,0.5484832764424696,0.09696655288493927,1097,1383,0.3478610485686716,Library default; treats the two error types as equal.,
youden,0.57,0.29355354288758656,0.8182446440912232,0.41119402985074627,0.7281672816728167,0.6598584753940173,0.5558990934894049,0.11179818697880983,1326,789,0.2155033772917337,Maximises Youden's J (sensitivity + specificity - 1); the standard choice when the two error types are weighted equally.,
max_f1,0.25,0.9429941395844432,0.08776779543883897,0.3089005235602094,0.7807377049180327,0.34593116757799935,0.5153809675116411,0.030761935023282172,107,3960,0.9215181730459955,Maximises F1 on the positive class; favours precision-recall balance under class imbalance.,
sens_90,0.28,0.9009057005860416,0.13844736235890348,0.3113607070521083,0.7636594663278272,0.3686072692183982,0.5196765314724725,0.039353062944945005,186,3740,0.8734319716950788,Highest specificity among cut-offs achieving at least 90% sensitivity; a rule-out operating point.,
sens_95,0.24,0.9531166755460841,0.06864777700990556,0.30675582990397804,0.772020725388601,0.33563846896108074,0.5108822262779948,0.02176445255598969,88,4043,0.9379221614667096,Highest specificity among cut-offs achieving at least 95% sensitivity; a rule-out operating point.,
sens_99,0.18,0.9909429941395844,0.013360976733471551,0.302783656194042,0.7733333333333333,0.30845931167578,0.502151985436528,0.004303970873055896,17,4283,0.9879382438082985,Highest specificity among cut-offs achieving at least 99% sensitivity; a rule-out operating point.,
cost_fn1x,0.79,0.09536494405966968,0.9967749366505414,0.927461139896373,0.7181742738589212,0.7246703119974268,0.5460699403551056,0.09213988071021117,1698,14,0.031038919266645225,Minimises expected cost when a missed case is treated as 1x as costly as an unnecessary confirmatory test.,
cost_fn5x,0.01,1.0,0.0,0.3018655516243165,,0.3018655516243165,0.5,0.0,0,4341,1.0,Minimises expected cost when a missed case is treated as 5x as costly as an unnecessary confirmatory test.,
cost_fn10x,0.01,1.0,0.0,0.3018655516243165,,0.3018655516243165,0.5,0.0,0,4341,1.0,Minimises expected cost when a missed case is treated as 10x as costly as an unnecessary confirmatory test.,True
cost_fn20x,0.01,1.0,0.0,0.3018655516243165,,0.3018655516243165,0.5,0.0,0,4341,1.0,Minimises expected cost when a missed case is treated as 20x as costly as an unnecessary confirmatory test.,
