threshold,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1_positive,accuracy,balanced_accuracy,youden_j,referral_rate,cost_fn1x,cost_fn5x,cost_fn10x,cost_fn20x
0.01,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.02,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.03,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.04,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.05,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.06,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.07,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.08,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.09,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.1,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.11,1876,4341,1,0,0.9994672349493873,0.0,0.30175325719800544,0.0,0.4635532493204843,0.30170472820842714,0.49973361747469364,-0.0005327650506127268,0.9998391765841107,69.82952717915728,69.89385654551303,69.97426825345771,70.13509166934706
0.12,1874,4340,3,1,0.9984017048481619,0.000230361667818475,0.30157708400386224,0.25,0.4632307502162897,0.3015439047925378,0.4993160332579902,-0.0013679334840196455,0.9993567063364426,69.84560952074622,70.03859761981344,70.27983274364748,70.76230299131554
0.13,1873,4338,4,3,0.9978689397975493,0.000691085003455425,0.3015617452906134,0.42857142857142855,0.4631552917903066,0.30170472820842714,0.49928001240050235,-0.0014399751989953025,0.9988742360887746,69.82952717915728,70.08684464458025,70.40849147635896,71.05178513991638
0.14,1871,4335,6,6,0.996803409696324,0.00138217000691085,0.3014824363519175,0.5,0.46294692564641843,0.3018655516243165,0.4990927898516174,-0.0018144202967651513,0.9980701190093277,69.81344483756835,70.1994210357028,70.68189128337086,71.64683177870698
0.15,1870,4328,7,13,0.9962706446457112,0.002994701681640175,0.3017102291061633,0.65,0.4631578947368421,0.30283049211965263,0.4996326731636757,-0.0007346536726485775,0.9967835316822129,69.71695078803474,70.16725635252493,70.73013830813767,71.85590221936314
0.16,1867,4317,10,24,0.9946723494938732,0.0055286800276434,0.3019081500646831,0.7058823529411765,0.4632179630318819,0.30411707944676747,0.5001005147607583,0.0002010295215166824,0.9945320038597619,69.58829205532325,70.23158571888067,71.03570279832743,72.64393695722097
0.17,1863,4301,14,40,0.9925412892914225,0.009214466712739,0.30223880597014924,0.7407407407407407,0.4633752020892924,0.3060469604374397,0.5008778780020807,0.0017557560041614462,0.9913155355419749,69.39530395625603,70.29591508523642,71.42167899646188,73.67320681891283
0.18,1860,4283,17,58,0.9909429941395844,0.013360976733471551,0.302783656194042,0.7733333333333333,0.46384039900249374,0.30845931167578,0.502151985436528,0.004303970873055896,0.9879382438082985,69.154068832422,70.2476680604696,71.61466709552911,74.34866516564811
0.19,1853,4252,24,89,0.9872136387852957,0.020502188435844275,0.30352170352170355,0.7876106194690266,0.4642946629917314,0.31231907365712447,0.50385791361057,0.007715827221139948,0.981826954004503,68.76809263428756,70.31199742682534,72.24187841749759,76.10164039884206
0.2,1840,4225,37,116,0.9802876931273309,0.026721953466943102,0.3033800494641385,0.7581699346405228,0.46335935532611433,0.31457060147957544,0.503504823297137,0.007009646594273944,0.975394017368929,68.54293985204245,70.92312640720489,73.89835960115794,79.84882598906401
0.21,1836,4189,41,152,0.9781566329248801,0.0350149735084082,0.3047302904564315,0.7875647668393783,0.4646924829157175,0.31971695078803475,0.5065858032166441,0.013171606433288297,0.9689610807333547,68.02830492119652,70.66580894178192,73.96268896751367,80.55644901897716
0.22,1821,4150,56,191,0.97016515716569,0.04399907855332873,0.30497404119912913,0.7732793522267206,0.46406727828746175,0.3235767127693792,0.5070821178595093,0.014164235719018592,0.9602766162753297,67.64232872306208,71.2447732389836,75.74782888388549,84.75394017368929
0.23,1806,4101,71,240,0.9621736814064997,0.055286800276434005,0.3057389537836465,0.7717041800643086,0.46402877697841727,0.32904470890961723,0.5087302408414669,0.017460481682933793,0.9499839176584111,67.09552910903828,71.66291412029591,77.37214538436797,88.79060791251206
0.24,1789,4043,88,298,0.9531166755460841,0.06864777700990556,0.30675582990397804,0.772020725388601,0.46413283175509146,0.33563846896108074,0.5108822262779948,0.02176445255598969,0.9379221614667096,66.43615310389193,72.09713734319718,79.17336764232873,93.32582824059183
0.25,1770,3960,107,381,0.9429941395844432,0.08776779543883897,0.3089005235602094,0.7807377049180327,0.46536085184698306,0.34593116757799935,0.5153809675116411,0.030761935023282172,0.9215181730459955,65.40688324220007,72.2901254422644,80.89417819234481,98.10228369250562
0.26,1741,3881,136,460,0.9275439531166756,0.1059663671964985,0.30967627178939877,0.7718120805369127,0.46432857714361914,0.35397233837246705,0.5167551601565871,0.033510320313174136,0.9041492441299454,64.6027661627533,73.35155998713412,84.28755226761017,106.15953682856224
0.27,1718,3818,159,523,0.9152903569525839,0.12047915226906243,0.31033236994219654,0.7668621700879765,0.4635100499123162,0.36040527500804115,0.5178847546108232,0.035769509221646345,0.8903184303634609,63.95947249919588,74.18784174975876,86.97330331296237,112.54422643936957
0.28,1691,3740,186,601,0.9009057005860416,0.13844736235890348,0.3113607070521083,0.7636594663278272,0.46278051450465246,0.3686072692183982,0.5196765314724725,0.039353062944945005,0.8734319716950788,63.13927307816018,75.10453522032807,90.06111289803795,119.97426825345771
0.29,1659,3664,218,677,0.8838572189664358,0.15595484911310759,0.31166635356002254,0.7564245810055866,0.4608333333333333,0.3756834995175298,0.5199060340397716,0.039812068079543295,0.8560630427790287,62.43165004824702,76.45545191379865,93.98520424573817,129.04470890961724
0.3,1620,3582,257,759,0.8630793819925413,0.17484450587422254,0.31141868512110726,0.7470472440944882,0.45769176437349907,0.38259890640077193,0.5189619439333819,0.03792388786676382,0.8366034094564169,61.740109359922805,78.27275651334834,98.93856545513027,140.27018333869412
0.31,1584,3479,293,862,0.8438998401704848,0.19857175765952545,0.31285798933438674,0.7463203463203463,0.4564841498559078,0.3933740752653586,0.5212357989150052,0.04247159783001031,0.8142489546477967,60.66259247346414,79.51109681569636,103.07172724348665,150.19298809906724
0.32,1554,3368,323,973,0.8279168886521044,0.22414190278737617,0.3157253149126371,0.7507716049382716,0.4571260479482277,0.40640077195239627,0.5260293957197403,0.052058791439480556,0.7915728530073979,59.35992280476037,80.13830813766485,106.11128980379543,158.0572531360566
0.33,1514,3258,363,1083,0.8066062866275973,0.24948168624740844,0.31726739312657165,0.7489626556016598,0.45540682809445027,0.417658411064651,0.5280439864375028,0.056087972875005665,0.7674493406239948,58.2341588935349,81.58571888066902,110.77516886458669,169.154068832422
0.34,1474,3168,403,1173,0.7852956846030901,0.27021423635107117,0.3175355450236967,0.7442893401015228,0.45221659763767447,0.4256995818591187,0.5277549604770806,0.055509920954161185,0.7465422965583789,57.43004181408813,83.35477645545191,115.76069475715664,180.5725313605661
0.35,1444,3049,433,1292,0.7693127330847096,0.2976272748214697,0.32138882706432226,0.7489855072463768,0.4533751962323391,0.44001286587327115,0.5334700039530896,0.06694000790617927,0.7225796075908653,55.998713412672885,83.85332904470891,118.67159858475394,188.308137664844
0.36,1398,2930,479,1411,0.7448055407565264,0.3250403132918682,0.3230129390018484,0.7465608465608465,0.45060435132957294,0.45175297523319397,0.5349229270241973,0.0698458540483946,0.6960437439691219,54.824702476680606,85.63846896108073,124.15567706658089,201.1900932775812
0.37,1354,2805,523,1536,0.7213638785295685,0.3538355217691776,0.3255590286126473,0.7459932005828072,0.4486414844267727,0.46477967192023156,0.5375997001493731,0.07519940029874617,0.6688645866838212,53.52203280797684,87.1662914120296,129.22161466709554,213.3322611772274
0.38,1306,2701,571,1640,0.6957911561001598,0.377793135222299,0.32592962315947094,0.741745816372682,0.44391570360299115,0.4737857832100354,0.5367921456612295,0.07358429132245892,0.6444194274686394,52.62142167899646,89.3534898681248,135.26857510453522,227.09874557735606
0.39,1248,2583,629,1758,0.6648907831646244,0.40497581202487903,0.32576350822239625,0.7364893171344784,0.43728100911002105,0.4834351881633966,0.5349332975947517,0.06986659518950344,0.6161145062721132,51.65648118366034,92.11965262142168,142.69861691862334,243.8565455130267
0.4,1202,2462,675,1879,0.6403835908364411,0.43284957383091455,0.32805676855895194,0.7357086922474549,0.4338567045659628,0.4954969443550981,0.5366165823336778,0.07323316466735563,0.5892569958185911,50.450305564490186,93.87262785461563,148.15053071727243,256.70633644258606
0.41,1149,2354,728,1987,0.6121470431539691,0.4577286339553098,0.32800456751355983,0.7318600368324125,0.42713754646840146,0.5043422322290125,0.5349378385546395,0.069875677109279,0.5633644258604052,49.56577677709875,96.39755548407848,154.93727886780314,272.0167256352525
0.42,1099,2253,778,2088,0.5855087906233352,0.4809951624049758,0.3278639618138425,0.7285415212840195,0.4203480589022758,0.5125442264393696,0.5332519765141555,0.06650395302831091,0.5390800900611129,48.745577356063045,98.79382438082985,161.35413316178835,286.47475072370537
0.43,1051,2144,826,2197,0.5599360681939265,0.5061045841971896,0.3289514866979656,0.7267614952034402,0.4144321766561514,0.5223544548086201,0.5330203261955581,0.06604065239111612,0.5138308137664844,47.76455451913799,100.90061112898037,167.32068189128336,300.16082341588935
0.44,1011,2021,866,2320,0.5386254661694193,0.534439069338862,0.33344327176781,0.7281858129315757,0.4118965166021593,0.5357027983274365,0.5365322677541406,0.07306453550828129,0.48761659697651977,46.429720167256356,102.13895143132841,171.77549051141847,311.04856867159856
0.45,970,1915,907,2426,0.5167820990942994,0.5588574061276204,0.3362218370883882,0.7278727872787278,0.40739185216295676,0.5461563203602444,0.5378197526109598,0.07563950522191965,0.46397555484078484,45.384367963975556,103.731103248633,176.66452235445482,322.53136056609844
0.46,934,1799,943,2542,0.49760255727224295,0.5855793595945634,0.3417489937797292,0.7294117647058823,0.4052060737527115,0.5590221936313927,0.5415909584334032,0.08318191686680643,0.4395303956256031,44.097780636860726,104.76037311032486,180.58861370215504,332.2450948858154
0.47,898,1685,979,2656,0.47842301545018645,0.6118405897258696,0.34765776229190865,0.7306740027510317,0.4026905829596413,0.5715664200707623,0.5451318025880281,0.09026360517605614,0.41540688324220004,42.84335799292377,105.82180765519459,184.54486973303312,341.9909938887102
0.48,865,1576,1012,2765,0.460841768779968,0.6369500115180834,0.35436296599754197,0.7320624834524755,0.4006484483557202,0.5837889996783532,0.5488958901490257,0.09779178029805147,0.3925699581859119,41.621100032164684,106.72241878417498,188.09906722418785,350.85236410421356
0.49,824,1485,1053,2856,0.43899840170484816,0.6579129232895646,0.35686444348202684,0.7306216423637759,0.39369326325848064,0.5918301704728208,0.5484556624972063,0.09691132499441268,0.3713412672885172,40.816982952717915,108.5558057253136,193.22933419105823,362.5763911225474
0.5,780,1383,1097,2958,0.41555673947789024,0.6814098134070491,0.3606102635228849,0.7294697903822441,0.38613861386138615,0.6011579285944033,0.5484832764424696,0.09696655288493927,0.3478610485686716,39.88420714055967,110.45352203280798,198.66516564811837,375.08845287873913
