threshold,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1_positive,accuracy,balanced_accuracy,youden_j,referral_rate,cost_fn1x,cost_fn5x,cost_fn10x,cost_fn20x
0.01,1869,3957,8,384,0.9957378795950985,0.0884588804422944,0.3208032955715757,0.9795918367346939,0.4852654809814358,0.3623351559987134,0.5420983800186965,0.08419676003739296,0.9369572209713735,63.76648440012866,64.28111933097459,64.924412994532,66.21100032164684
0.02,1827,1511,50,2830,0.973361747469366,0.6519235199262843,0.5473337327741162,0.9826388888888888,0.7006711409395974,0.7489546477967192,0.8126426336978252,0.6252852673956504,0.5368285622386619,25.10453522032808,28.32100353811515,32.34158893534899,40.38275972981666
0.03,1816,552,61,3789,0.9675013319126265,0.8728403593642018,0.7668918918918919,0.9841558441558441,0.8555948174322733,0.9014152460598263,0.9201708456384141,0.8403416912768282,0.3808298488259891,9.858475394017368,13.782566741717593,18.687680926342875,28.497909295593438
0.04,1808,167,69,4174,0.9632392115077251,0.9615296014743147,0.9154430379746835,0.9837379212821117,0.9387331256490135,0.9620456738501125,0.9623844064910199,0.9247688129820397,0.31762624638147313,3.7954326149887425,8.234158893534898,13.782566741717593,24.879382438082985
0.05,1806,27,71,4314,0.9621736814064997,0.9937802349689012,0.9852700490998363,0.9838084378563284,0.9735849056603774,0.9842393052428433,0.9779769581877005,0.955953916375401,0.2947893213251849,1.5760694757156641,6.143454486973304,11.852685751045351,23.27114827918945
0.06,1804,6,73,4335,0.9611081513052744,0.9986178299930891,0.9966850828729282,0.9834392014519057,0.9785733658801193,0.9872949501447411,0.9798629906491818,0.9597259812983636,0.2910903827597298,1.2705049855258925,5.966548729495014,11.836603409456417,23.57671276937922
0.07,1804,2,73,4339,0.9611081513052744,0.999539276664363,0.9988925802879292,0.9834542157751587,0.979636166168884,0.9879382438082985,0.9803237139848187,0.9606474279696373,0.2904470890961724,1.2061756191701511,5.902219363139273,11.772274043100676,23.51238340302348
0.08,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.09,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.1,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.11,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.12,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.13,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.14,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.15,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.16,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.17,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.18,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.19,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.2,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.21,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.22,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.23,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.24,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.25,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.26,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.27,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.28,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.29,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.3,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.31,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.32,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.33,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.34,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.35,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.36,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.37,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.38,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.39,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.4,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.41,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.42,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.43,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
